time	V(p001)
	2.694015e+002	4.826882e+001
	2.694037e+002	4.826896e+001
	2.694050e+002	4.826904e+001
	2.694075e+002	4.826920e+001
	2.694125e+002	4.826952e+001
	2.701987e+002	4.831937e+001
	2.702000e+002	4.831945e+001
	2.702009e+002	4.831951e+001
	2.702047e+002	4.831974e+001
	2.702572e+002	4.832307e+001
	2.702587e+002	4.832317e+001
	2.702606e+002	4.832329e+001
	2.703818e+002	4.833097e+001
	2.704225e+002	4.833355e+001
	2.708862e+002	4.836293e+001
	2.714231e+002	4.839693e+001
	2.716806e+002	4.841322e+001
	2.716828e+002	4.841336e+001
	2.716865e+002	4.841360e+001
	2.719003e+002	4.842713e+001
	2.726378e+002	4.847378e+001
	2.727415e+002	4.848034e+001
	2.728090e+002	4.848460e+001
	2.736237e+002	4.853609e+001
	2.744912e+002	4.859086e+001
	2.745750e+002	4.859615e+001
	2.745772e+002	4.859629e+001
	2.745815e+002	4.859657e+001
	2.751190e+002	4.863048e+001
	2.751200e+002	4.863054e+001
	2.751237e+002	4.863077e+001
	2.753012e+002	4.864197e+001
	2.753700e+002	4.864630e+001
	2.753718e+002	4.864642e+001
	2.753793e+002	4.864689e+001
	2.760912e+002	4.869177e+001
	2.767975e+002	4.873626e+001
	2.767990e+002	4.873636e+001
	2.767993e+002	4.873637e+001
	2.767996e+002	4.873639e+001
	2.768015e+002	4.873651e+001
	2.768090e+002	4.873698e+001
	2.773027e+002	4.876807e+001
	2.773058e+002	4.876826e+001
	2.773080e+002	4.876840e+001
	2.773168e+002	4.876896e+001
	2.773483e+002	4.877094e+001
	2.773494e+002	4.877101e+001
	2.773513e+002	4.877113e+001
	2.773538e+002	4.877129e+001
	2.775104e+002	4.878114e+001
	2.775115e+002	4.878121e+001
	2.775121e+002	4.878125e+001
	2.775133e+002	4.878132e+001
	2.775158e+002	4.878148e+001
	2.776808e+002	4.879186e+001
	2.781580e+002	4.882188e+001
	2.788655e+002	4.886636e+001
	2.788724e+002	4.886679e+001
	2.789561e+002	4.887206e+001
	2.798536e+002	4.892843e+001
	2.798552e+002	4.892853e+001
	2.798554e+002	4.892854e+001
	2.798558e+002	4.892856e+001
	2.798565e+002	4.892861e+001
	2.798575e+002	4.892867e+001
	2.798587e+002	4.892875e+001
	2.801250e+002	4.894546e+001
	2.802437e+002	4.895292e+001
	2.805012e+002	4.896907e+001
	2.805022e+002	4.896913e+001
	2.805059e+002	4.896937e+001
	2.808540e+002	4.899121e+001
	2.808556e+002	4.899131e+001
	2.808575e+002	4.899142e+001
	2.809162e+002	4.899511e+001
	2.809181e+002	4.899522e+001
	2.809225e+002	4.899550e+001
	2.809600e+002	4.899785e+001
	2.813675e+002	4.902340e+001
	2.823637e+002	4.908583e+001
	2.823668e+002	4.908603e+001
	2.827081e+002	4.910740e+001
	2.828431e+002	4.911584e+001
	2.828441e+002	4.911591e+001
	2.828451e+002	4.911597e+001
	2.828460e+002	4.911603e+001
	2.828470e+002	4.911609e+001
	2.828480e+002	4.911615e+001
	2.828490e+002	4.911622e+001
	2.828500e+002	4.911628e+001
	2.830647e+002	4.912971e+001
	2.830668e+002	4.912985e+001
	2.830681e+002	4.912993e+001
	2.830943e+002	4.913157e+001
	2.831656e+002	4.913603e+001
	2.831681e+002	4.913619e+001
	2.831687e+002	4.913623e+001
	2.831692e+002	4.913626e+001
	2.831700e+002	4.913631e+001
	2.831701e+002	4.913631e+001
	2.831703e+002	4.913633e+001
	2.831706e+002	4.913634e+001
	2.831713e+002	4.913639e+001
	2.831725e+002	4.913646e+001
	2.831750e+002	4.913662e+001
	2.837063e+002	4.916986e+001
	2.837075e+002	4.916994e+001
	2.837084e+002	4.916999e+001
	2.837122e+002	4.917023e+001
	2.837672e+002	4.917367e+001
	2.837694e+002	4.917381e+001
	2.837731e+002	4.917404e+001
	2.850406e+002	4.925327e+001
	2.851228e+002	4.925840e+001
	2.851233e+002	4.925843e+001
	2.851252e+002	4.925854e+001
	2.854614e+002	4.927954e+001
	2.854733e+002	4.928028e+001
	2.860408e+002	4.931571e+001
	2.860441e+002	4.931591e+001
	2.860444e+002	4.931594e+001
	2.860463e+002	4.931605e+001
	2.863913e+002	4.933758e+001
	2.870150e+002	4.937648e+001
	2.870381e+002	4.937792e+001
	2.874444e+002	4.940324e+001
	2.877375e+002	4.942151e+001
	2.879913e+002	4.943731e+001
	2.885113e+002	4.946970e+001
	2.885244e+002	4.947051e+001
	2.885881e+002	4.947448e+001
	2.888581e+002	4.949128e+001
	2.888625e+002	4.949156e+001
	2.888634e+002	4.949162e+001
	2.888672e+002	4.949185e+001
	2.889138e+002	4.949475e+001
	2.889144e+002	4.949479e+001
	2.889181e+002	4.949502e+001
	2.891006e+002	4.950637e+001
	2.896338e+002	4.953954e+001
	2.896347e+002	4.953960e+001
	2.896357e+002	4.953966e+001
	2.896367e+002	4.953972e+001
	2.896377e+002	4.953978e+001
	2.896387e+002	4.953984e+001
	2.896396e+002	4.953990e+001
	2.896406e+002	4.953996e+001
	2.898444e+002	4.955263e+001
	2.907956e+002	4.961175e+001
	2.913694e+002	4.964738e+001
	2.916769e+002	4.966646e+001
	2.917656e+002	4.967197e+001
	2.917725e+002	4.967240e+001
	2.918091e+002	4.967466e+001
	2.918097e+002	4.967471e+001
	2.918134e+002	4.967494e+001
	2.919472e+002	4.968324e+001
	2.923234e+002	4.970658e+001
	2.927209e+002	4.973122e+001
	2.927219e+002	4.973128e+001
	2.927256e+002	4.973151e+001
	2.929994e+002	4.974849e+001
	2.931338e+002	4.975681e+001
	2.931375e+002	4.975705e+001
	2.932113e+002	4.976162e+001
	2.934300e+002	4.977517e+001
	2.941988e+002	4.982278e+001
	2.942752e+002	4.982751e+001
	2.943516e+002	4.983224e+001
	2.944280e+002	4.983697e+001
	2.945045e+002	4.984170e+001
	2.945809e+002	4.984643e+001
	2.946573e+002	4.985116e+001
	2.947338e+002	4.985589e+001
